iter	RMSE
0	786630.8316
1	785995.03
2	785137.6133
3	784693.1167
4	783850.128
5	782941.8999
6	782351.9629
7	782029.9118
8	781314.4108
9	780740.8823
10	780254.5161
11	779761.3103
12	779104.3894
13	778600.8899
14	778017.1161
15	777675.8456
16	776890.7032
17	776103.104
18	775371.714
19	774775.3865
20	774400.0018
21	773747.4532
22	772800.8967
23	772300.6021
24	771726.4321
25	771044.7473
26	770474.6625
27	769742.7067
28	769313.2256
29	768909.5195
30	768215.3321
31	767933.861
32	767500.3099
33	767161.5014
34	766630.1093
35	766297.9239
36	765764.9799
37	765242.5235
38	764541.0686
39	764193.1587
40	763632.5678
41	762591.2525
42	762036.7085
43	761429.2225
44	761052.1116
45	760720.2867
46	760408.1316
47	760025.7146
48	759185.9453
49	758822.8723
50	758044.7734
51	757533.2613
52	757139.3506
53	756578.9517
54	755879.1231
55	755503.3484
56	754993.8773
57	754403.4524
58	753803.3303
59	753327.5056
60	752907.3079
61	751965.2173
62	751613.9982
63	751186.5105
64	750623.4715
65	750338.5234
66	750037.7198
67	749645.3863
68	749302.6252
69	748867.382
70	748417.0629
71	747505.6005
72	747065.4238
73	746626.5967
74	746149.9385
75	745723.6453
76	745311.248
77	744953.5294
78	744741.1467
79	744314.0216
80	743766.9609
81	743417.4051
82	742849.0014
83	742491.4591
84	742131.8893
85	741676.1101
86	741042.2316
87	740707.1767
88	740266.2573
89	739840.6972
90	739474.6438
91	739173.9705
92	738866.459
93	738491.8509
94	738063.169
95	737702.8568
96	737246.0093
97	736822.1789
98	736505.3727
99	736081.6047
